ID_Estudiante,Universidad,Score_Critico,Score_Tecnico,Score_Participativo,Score_AMI_Global,Nivel_Critico,Nivel_Tecnico,Nivel_Participativo,Nivel_AMI_Global,Riesgo_Total,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Score_Riesgo_Academico,Score_Riesgo_LMS,Riesgo_Acad_Perceptual,Riesgo_Documental
STU_0243,UNI,3.8,4.0,3.9,3.9,Medio,Alto,Alto,Alto,1,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2.625,1.375,2.25,1.375
STU_0244,UNI,2.6,2.6,2.6,2.6,Bajo,Bajo,Bajo,Bajo,1,3,2,2,3,3,4,3,2,2,2,2,3,2,3,2,3,2,3,3,3,2,3,2,3,4,2,3,2,3,2,2.75,2.25,2.0,2.25
STU_0245,UNI,4.0,3.9,4.1,4.0,Alto,Alto,Alto,Alto,0,4,4,4,4,4,5,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,5,4,4,4,5,5,4,3,1.0,1.875,1.0,1.875
STU_0246,UNI,4.0,3.7,4.0,3.9,Alto,Alto,Alto,Alto,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,5,2,5,4,3,4,5,2.875,3.0,2.75,3.0
STU_0247,UNI,3.6,3.6,3.5,3.5666666666666664,Medio,Medio,Medio,Medio,0,4,4,4,4,4,2,4,4,3,3,4,4,4,3,4,3,3,3,4,4,4,4,5,3,3,4,3,3,3,3,2.375,2.125,2.75,2.125
STU_0248,UNI,3.6,3.2,2.8,3.2000000000000006,Medio,Bajo,Bajo,Bajo,1,4,4,3,3,4,3,4,3,4,4,3,3,4,4,3,3,2,3,4,3,2,3,3,4,4,3,2,3,2,2,3.0,3.25,2.5,3.25
STU_0249,UNI,3.4,3.7,3.7,3.6,Bajo,Alto,Medio,Medio,0,4,3,3,2,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,2,4,3,3,5,3,5,4,4,4,2,2.25,2.375,3.0,2.375
STU_0251,UNI,3.0,3.1,3.2,3.1,Bajo,Bajo,Bajo,Bajo,0,2,3,2,3,3,3,3,4,3,4,2,4,4,4,2,3,3,3,3,3,2,3,3,2,4,4,4,3,3,4,1.875,2.375,2.25,2.375
STU_0253,UNI,2.0,2.0,2.1,2.033333333333333,Bajo,Bajo,Bajo,Bajo,1,1,2,2,2,1,5,2,2,2,1,2,2,3,1,1,2,2,3,1,3,3,1,2,2,3,3,2,2,1,2,3.0,4.25,3.0,4.25
STU_0254,UNI,3.1,3.2,3.4,3.233333333333334,Bajo,Bajo,Medio,Bajo,0,4,3,3,2,3,2,4,3,4,3,3,4,4,3,3,4,2,3,4,2,3,4,3,3,2,4,4,3,4,4,1.5,1.0,1.0,1.0
STU_0255,UNI,3.2,3.0,3.0,3.0666666666666664,Bajo,Bajo,Bajo,Bajo,1,4,4,4,3,2,4,3,2,3,3,4,3,3,3,2,4,3,2,3,3,4,3,4,4,2,3,3,2,3,2,2.25,2.0,2.0,2.0
STU_0256,UNI,3.6,3.6,3.9,3.6999999999999997,Medio,Medio,Alto,Medio,0,3,4,4,4,4,2,4,3,4,4,4,4,4,2,4,4,4,4,3,3,3,4,4,5,3,4,4,4,4,4,1.0,1.0,1.0,1.0
STU_0257,UNI,3.8,3.1,2.9,3.266666666666667,Medio,Bajo,Bajo,Bajo,0,4,3,4,4,3,4,4,4,4,4,4,3,4,1,3,3,4,3,4,2,2,3,3,5,4,4,1,2,1,4,1.5,2.0,1.5,2.0
STU_0258,UNI,3.9,4.0,4.7,4.2,Alto,Alto,Alto,Alto,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,5,4,3.5,4.625,4.5,4.625
STU_0259,UNI,3.4,3.5,3.6,3.5,Bajo,Medio,Medio,Medio,0,3,4,3,4,3,3,4,4,3,3,3,4,3,4,3,4,4,3,3,4,4,4,3,3,5,3,4,3,4,3,1.75,1.375,2.0,1.375
STU_0260,UNI,3.4,3.8,3.8,3.6666666666666665,Bajo,Alto,Medio,Medio,1,4,3,3,3,4,3,4,3,3,4,3,4,4,3,4,4,4,4,4,4,3,5,5,3,5,3,1,4,5,4,2.625,3.125,3.25,3.125
STU_0261,UNI,3.9,3.9,3.9,3.9,Alto,Alto,Alto,Alto,0,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,3,3,3,2.5,1.75,3.0,1.75
STU_0262,UNI,3.6,2.6,2.4,2.8666666666666667,Medio,Bajo,Bajo,Bajo,1,4,4,3,3,4,2,4,4,4,4,4,2,3,2,3,3,3,2,2,2,2,2,2,4,4,2,2,2,2,2,2.875,3.625,3.75,3.625
STU_0263,UNI,2.7,3.3,3.0,3.0,Bajo,Bajo,Bajo,Bajo,0,3,4,3,4,2,3,4,1,1,2,4,3,4,3,3,3,4,3,4,2,2,3,2,4,4,5,3,2,4,1,1.875,2.25,2.75,2.25
STU_0264,UNI,3.2,3.5,3.6,3.4333333333333336,Bajo,Medio,Medio,Medio,0,3,4,4,3,4,2,3,4,3,2,4,3,4,4,4,3,4,3,4,2,3,3,4,4,5,5,3,3,4,2,1.0,2.875,1.0,2.875
STU_0265,UNI,3.9,3.6,3.6,3.6999999999999997,Alto,Medio,Medio,Medio,0,3,4,4,4,4,5,4,3,4,4,4,4,4,4,3,4,4,4,3,2,2,4,3,5,4,4,3,3,3,5,2.5,2.375,3.5,2.375
STU_0266,UNI,3.4,3.5,2.6,3.1666666666666665,Bajo,Medio,Bajo,Bajo,0,4,4,4,2,3,3,4,3,4,3,4,4,4,4,2,4,2,4,4,3,4,3,3,4,2,2,2,2,2,2,1.75,3.5,2.0,3.5
STU_0267,UNMSM,3.4,3.6,3.5,3.5,Bajo,Medio,Medio,Medio,0,4,4,3,3,4,3,3,3,4,3,3,4,4,4,4,3,4,3,4,3,4,4,4,4,2,3,3,3,4,4,2.5,3.25,3.5,3.25
STU_0268,UNMSM,3.4,3.1,3.0,3.1666666666666665,Bajo,Bajo,Bajo,Bajo,0,3,4,4,4,3,3,4,3,3,3,4,3,2,3,3,3,2,4,4,3,3,3,3,3,4,3,2,3,4,2,1.0,2.125,1.0,2.125
STU_0269,UNMSM,3.5,3.0,2.8,3.1,Bajo,Bajo,Bajo,Bajo,0,3,3,4,4,3,4,4,4,2,4,3,3,4,3,4,3,2,2,4,2,2,3,3,3,2,3,3,3,4,2,2.0,2.875,2.5,2.875
STU_0270,UNMSM,3.7,3.7,4.6,4.0,Medio,Alto,Alto,Alto,0,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,1,5,5,4,5,3,5,5,5,5,4,1.5,2.0,2.0,2.0
STU_0271,UNMSM,3.8,3.9,4.1,3.933333333333333,Medio,Alto,Alto,Alto,0,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,5,5,4,5,4,4,4,2.0,2.375,2.0,2.375
STU_0272,UNMSM,3.8,3.6,3.0,3.466666666666667,Medio,Medio,Bajo,Medio,0,4,4,4,3,4,5,3,3,4,4,4,3,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,2.375,2.875,3.25,2.875
STU_0273,UNMSM,3.2,2.7,3.1,3.0,Bajo,Bajo,Bajo,Bajo,0,3,3,3,3,4,4,3,2,4,3,1,3,3,4,2,2,4,4,2,2,2,3,4,3,3,3,4,2,4,3,2.25,2.625,3.0,2.625
STU_0274,UNMSM,3.3,3.1,3.6,3.3333333333333335,Bajo,Bajo,Medio,Bajo,1,3,4,2,3,4,3,3,4,4,3,3,3,3,3,4,4,3,4,2,2,4,4,3,4,3,3,4,3,4,4,3.5,3.25,4.0,3.25
STU_0275,UNMSM,3.8,3.5,3.7,3.6666666666666665,Medio,Medio,Medio,Medio,0,4,4,4,4,4,5,3,4,2,4,4,3,4,3,4,4,4,4,4,1,3,3,3,5,1,5,4,4,4,5,1.25,1.625,1.0,1.625
STU_0276,UNMSM,3.7,3.9,3.9,3.8333333333333335,Medio,Alto,Alto,Alto,0,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,5,4,3,5,3,4,4,4,4,3,1.5,1.75,1.5,1.75
STU_0277,UNMSM,4.0,3.5,3.1,3.533333333333333,Alto,Medio,Bajo,Medio,0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,2,2,3,4,2,4,3,3,3,3,4,1.0,1.375,1.0,1.375
STU_0278,UNMSM,3.6,3.1,3.5,3.4,Medio,Bajo,Medio,Medio,1,4,3,4,3,4,3,4,4,3,4,4,4,3,3,4,3,3,2,4,1,3,3,4,3,5,3,5,3,4,2,2.5,3.875,3.0,3.875
STU_0279,UNMSM,3.9,3.4,3.0,3.4333333333333336,Alto,Medio,Bajo,Medio,0,3,4,4,4,4,5,3,4,4,4,4,3,4,3,4,4,3,4,4,1,4,4,3,4,2,4,3,2,2,2,2.125,1.375,2.75,1.375
STU_0280,UNMSM,3.3,3.0,4.2,3.5,Bajo,Bajo,Alto,Medio,0,3,3,4,4,2,5,3,3,3,3,3,4,3,3,4,3,4,2,3,1,4,4,5,4,5,3,3,4,5,5,2.5,3.5,3.5,3.5
